M_p-normal_s-slow_e-normal|A man speaks in a normal pitch slowly with normal volume;A man speaks slowly with normal pitch and normal volume;A man speaks slowly with normal pitch and volume;A man speaks slowly, with a normal pitch and a normal volume;A man speaks slowly, with a normal pitch and volume;A man speaks slowly, with normal pitch and volume;A man speaks with a normal pitch and normal volume, but slowly;A man speaks with a normal pitch and slow speed;A man speaks with a slow speed, a normal pitch and volume;A man speaks with a slow speed, normal pitch and volume;A man speaks with slow speaking speed, normal pitch and normal volume;A man spoke slowly with a normal volume and standard pitch;A man spoke slowly with a standard volume and normal pitch;Ask a man to speak slowly but with normal pitch and normal volume;This man said slowly with standard volume and normal pitch;This man spoke slowly with a normal volume and standard pitch;This man spoke slowly with a standard volume and normal pitch;a man speaks with slow speaking speed, normal pitch and normal volume;ask a man to speak slowly but with normal pitch and normal volume;this man said slowly with standard volume and normal pitch
M_p-normal_s-slow_e-high|Ask a man to speak with a normal pitch and slow talking speed, and high energy;Ask a man to speak with normal pitch and slow talking speed, and high energy;Ask a man to speak with normal pitch, slow talking speed and high energy;Ask a man with a loud voice and say a word slowly;Ask a man with a loud voice to articulate slowly;Ask a man with a loud voice to pronounce slowly;Ask a man with a loud voice to say slowly;Ask a man with a loud voice to speak slowly;Ask a man with loud sound to articulate slowly;Ask a man with loud sound to pronounce slowly;Ask a man with loud sound to say slowly;Ask a man with loud sound to speak slowly;Ask a man with loud voice to say slowly;Let a man speak slowly with high energy and normal pitch;Let a man with high energy and normal pitch speak slowly;Request a man with a loud voice to say a word slowly;ask a man to speak with normal pitch, slow talking speed and high energy;let a man speak slowly with high energy and normal pitch
M_p-normal_s-normal_e-low|He speaks quietly, but his speech has a normal pitch and a standard talking speed;He speaks with a low volume, but his speech has a normal pitch and a standard talking speed;He speaks with a low volume, but his speech has a normal pitch and normal speaking speed;He speaks with a low volume, but his speech is at a standard pace;He speaks with a low volume, but his speech is normal;He speaks with low energy, but the pitch is normal and the speed is standard;He speaks with low volume, but the pitch is normal and the speed is standard;He speaks with low volume, but the speed is normal;he speaks with low volume but speaks normally with standard speaking speed;ask a man to speak with low energy but normal pitch and normal speaking speed;he speaks with low volume but the speech has normal pitch and standard talking speed;he speaks with low volume, but his speech has normal pitch and normal speaking speed;his voice is small in volume, but the speed is normal
M_p-normal_s-normal_e-normal|A man speaks in average speaking speed with a normal pitch and normal volume;A man speaks with a normal pitch, speed, and volume;A man speaks with a normal volume, average speaking speed, and normal pitch;A man speaks with a normal volume, normal pitch, and average speaking speed;A man speaks with a normal volume, normal speaking speed, and normal pitch;A man speaks with a normal volume, standard pitch, and normal speaking speed;A man speaks with a normal volume, standard speaking speed, and normal pitch;A man speaks with a regular pitch, speed, and volume;A man speaks with a standard pitch, speed, and volume;A man speaks with a typical pitch, speed, and volume;A man speaks with an average pitch, speed, and volume;A man speaks with average pitch, normal volume and average speaking speed;A man speaks with normal pitch, average speaking speed and normal volume;A man speaks with normal volume, average pitch and normal speaking speed;A man speaks with normal volume, average speaking speed and standard pitch;A man speaks with normal volume, normal pitch and average talking speed;A man speaks with normal volume, normal pitch and normal talking speed;A man speaks with normal volume, normal pitch and regular talking speed;A man speaks with normal volume, normal pitch and standard talking speed;A man speaks with normal volume, normal pitch and typical talking speed;A man speaks with normal volume, standard pitch and average speaking speed;A man speaks with normal volume, standard speaking speed and normal pitch;ask a man to speak normally with normal pitch, speed, and volume
M_p-normal_s-normal_e-high| ask a man to speak normal pitch, normal speed and high energy;A man speaks with high volume and normal pitch, speaking at a normal speed;A man speaks with high volume, normal pitch, and a normal speaking speed;A man speaks with high volume, normal pitch, and a speed that is normal;A man speaks with high volume, normal pitch, and a speed that is typical;A man speaks with high volume, normal pitch, and normal speaking speed;He said loudly with normal speed and high pitch;He speaks loudly with normal speed and high pitch;He speaks with a high volume, normal speed and a high pitch;He speaks with high energy, normal pitch and normal speed;He speaks with high volume and normal speed, with a high pitch;He speaks with normal pitch and high energy, at a normal speed;He speaks with normal pitch and normal speed, but with high energy;He speaks with normal pitch, high energy and normal speed;He speaks with normal pitch, normal speed and high energy;He spoke loudly with normal speed and a high pitch;He spoke loudly with normal speed and high pitch;He spoke loudly, with normal speed and a high pitch;He spoke loudly, with normal speed and a high-pitched voice;He spoke with a loud voice and normal speed, with a high pitch;He spoke with high volume and normal speed, with a high pitch;a man speaks with high volume but normal pitch and normal speaking speed
M_p-normal_s-fast_e-low|Ask a man to speak fast with normal pitch and low energy;Ask a man to speak quickly with a normal pitch and low energy;Ask a man to speak quickly with low energy and standard pitch;Ask a man to speak quickly, with a normal pitch and low energy;Ask a man to speak with a normal pitch and a fast speaking speed, while keeping the energy low;Ask a man to speak with a normal pitch, but speak quickly and with low energy;Ask a man to speak with a normal pitch, but with a fast speaking speed and low energy;Ask a man to speak with a normal pitch, but with a fast speaking speed and low volume;Ask a man to speak with a normal pitch, but with a quick pace and low volume;Ask a man to speak with a normal pitch, but with a quick tempo and low volume;Ask a man to speak with a standard pitch, but with a fast pace and low energy;Ask a man to speak with a standard pitch, but with a quick pace and low energy;He speaks with a fast speaking speed and normal pitch and low volume;He speaks with a low volume and fast speaking speed and normal pitch;He speaks with a normal pitch and fast speaking speed and low volume;He speaks with a normal pitch and low volume, and his speaking speed is fast;He speaks with fast speaking speed and normal pitch and low volume;His pitch is normal, but his speaking speed is fast and his volume is low;His pitch is normal, but his speaking speed is fast, and his volume is low;His pitch is normal, but the speed is fast, and the volume is low;His speaking speed is fast, and his pitch is normal, and his volume is low;ask a man to speak fast with normal pitch and low energy;ask a man to speak quickly with low energy and standard pitch;he speaks with fast speaking speed and normal pitch and low volume
M_p-normal_s-fast_e-normal| a man speaks quickly with standard pitch and standard energy;A male voice speaks fast with normal pitch and normal volume;A male who speaks quickly has normal pitch and volume;A male's pitch and volume are typical when he speaks quickly;A man speaks quickly with a normal pitch and standard energy;A man speaks quickly with a normal pitch and standard volume;A man speaks quickly with a standard pitch and normal energy;A man speaks quickly with a standard pitch and normal volume;A man speaks quickly with a standard pitch and standard energy;A man speaks quickly with normal pitch and normal volume;A man speaks quickly with normal pitch and standard volume;A man speaks quickly with standard pitch and standard energy;A man's pitch and volume are normal when he speaks quickly;A man's pitch and volume are standard when he speaks quickly;A man's voice that speaks quickly has a normal pitch;A man's voice that speaks quickly is normal in pitch;A quick-talking man's voice is normal in pitch;Ask a male to speak quickly, his pitch and volume are normal;Ask a man to speak quickly, his pitch and volume are normal;Let a man speak fast with normal pitch and normal volume;Let us use the voice of a fast speaking man, his pitch is normal;Let's use a man's voice that speaks quickly and has a normal pitch;Let's use a man's voice that speaks quickly and has a normal pitch and volume;This man speaks quickly with normal pitch and standard volume;When a male speaks quickly, his pitch and volume remain normal;ask a male to speak quickly, his pitch and volume are normal;ask a man to speak fast but with normal pitch and normal volume;let us use the voice of a fast speaking man, his pitch is normal;this man speaks quickly with normal pitch and standard volume
M_p-normal_s-fast_e-high| a man speaks quickly with average pitch and high volume;A man speaks fast with average pitch and high energy;A man speaks fast with average pitch and high volume;A man speaks fast with normal pitch and high energy;A man speaks quickly with a loud voice and average pitch;A man speaks quickly with average pitch and high volume;A man speaks quickly with normal pitch and high volume;Ask a man to quickly say a word with a loud voice;Ask a man to quickly say a word with a loud voice and average pitch;Ask a man to quickly say a word with a loud voice and normal pitch;Ask a man to quickly say something with normal pitch and high energy;Ask a man to quickly speak with a high volume and normal pitch;Ask a man to quickly speak with a normal pitch and high volume;Ask a man to quickly speak with average pitch and high volume;Ask a man to quickly talk with a high volume and normal pitch;Ask a man to quickly talk with normal pitch and high volume;Ask a man to say a word with a loud voice and fast speaking speed and average pitch;Ask a man to say a word with a loud voice and fast speaking speed and normal pitch;Ask a man to say a word with a loud voice and fast speed;Ask a man to say something with a loud voice and fast speaking speed and normal pitch;Ask a man with a loud voice to quickly say a word;Ask a man with a loud voice to quickly say a word with average pitch;Ask a man with a loud voice to quickly say a word with normal pitch;Ask a man with a loud voice to say a word fast with average pitch;Ask a man with a loud voice to say a word quickly;Ask a man with a loud voice to say a word quickly with average pitch;Ask a man with a loud voice to say a word quickly with normal pitch;a man speaks fast with normal pitch and high energy;ask a man to say a word with a loud voice and fast speaking speed and normal pitch
M_p-high_s-slow_e-low| a man speaks with slow speaking speed, high pitch, and low volume; ask a man to speak slowly with high pitch and low energy;A man speaks slowly with a high-pitched voice and low volume;A man speaks slowly with low volume and high-pitched voice;A man speaks slowly, with a high pitch and low energy;A man speaks slowly, with a high pitch and low volume;A man speaks slowly, with a high pitch and low-energy voice;A man speaks slowly, with a high-pitched voice and low energy;A man speaks slowly, with a high-pitched voice and low volume;A man speaks slowly, with a low volume and a high-pitched voice;A man speaks slowly, with a low volume and high-pitched voice;A man speaks slowly, with low volume and a high-pitched voice;A man speaks with a high-pitched voice, slow speed, and low volume;A man speaks with a low volume, high-pitched voice, and slow speed;He speaks slowly, but with a high-pitched voice and low volume;He speaks slowly, with a low-energy voice and high pitch;a man speaks with slow speaking speed, high pitch, and low volume;ask a man to speak slowly with high pitch and low energy;he speaks slowly, but with high pitch and low volume;high pitched, slow speaking, low volume, man
M_p-high_s-slow_e-normal| a man speaks slowly with normal volume and high pitch; ask a man to speak slowly with high pitch and normal volume;A man speaking slowly, but the sound is high-pitched and volume is normal;A man speaking slowly, with a high pitch and normal volume;A man speaks slowly with normal volume and high pitch;A man speaks slowly, but his pitch is high and volume is average;A man speaks slowly, but his pitch is high and volume is high;A man speaks slowly, but his pitch is high and volume is low;A man speaks slowly, but his pitch is high and volume is moderate;A man speaks slowly, but his pitch is high and volume is normal;A man speaks slowly, with a high pitch and average volume;A man speaks slowly, with a high pitch and normal volume;A man speaks slowly, with a high-pitched voice and average volume;A man speaks slowly, with a high-pitched voice and normal volume;A man speaks slowly, with a normal volume and high pitch;A man talking slowly, but the sound is high-pitched and volume is normal;A man who speaks slowly, but he has a high pitch and low energy;A man who speaks slowly, but his voice is high-pitched and low-amplitude;A man who speaks slowly, but his voice is high-pitched and low-decibel;A man who speaks slowly, but his voice is high-pitched and low-energy;A man who speaks slowly, but his voice is high-pitched and low-intensity;A man who speaks slowly, but his voice is high-pitched and low-volume;A man who speaks slowly, with a high pitch and normal volume;Ask a man to speak slowly with high pitch and normal volume
M_p-high_s-slow_e-high| a high-pitched man speaks slowly with high volume;A high-pitched man speaks slowly with high volume;A man speaks loudly and slowly, but with a high pitch;A man speaks loudly and with a high pitch, but slowly;A man speaks loudly with high pitch and high energy;A man speaks loudly with high pitch but slowly;A man speaks slowly and loudly with high pitch;A man speaks slowly and with a high pitch, but loudly;A man speaks slowly with a high pitch and a high-energy voice;A man speaks slowly with a high pitch and a high-pitched voice;A man speaks slowly with a high pitch and a loud, high-pitched voice;A man speaks slowly with a high pitch and high energy;A man speaks slowly with a high pitch and loud volume;A man speaks slowly with high pitch and high energy;A man speaks slowly with high pitch and high volume;A man speaks slowly with high pitch but loudly;A man with a high-pitched voice speaks slowly and loudly;A man with a high-pitched voice speaks slowly and with high volume;A man with a high-pitched voice speaks slowly, but loudly;A man with a high-pitched voice speaks slowly, but with high volume;A man with a high-pitched voice speaks slowly, with high volume;Ask a man speaks slowly with high pitch and high energy;This man said loudly and his speed is slow, but the pitch is high;This man speaks slowly and loudly, but with high pitch;This man speaks slowly and loudly, with a high pitch;This man speaks with a high pitch, slowly and loudly;ask a man speaks slowly with high pitch and high energy;this man speaks slowly and loudly, but with high pitch
M_p-high_s-normal_e-low|A high-pitched man speaks with normal speed and low volume;A high-pitched man with low volume and normal speed;A man speaks with high pitch, normal talking speed and low energy;A man with a high-pitched voice speaks at a normal speed and low volume;A man with a high-pitched voice speaks with a normal speed and low volume;A man with a high-pitched voice speaks with low volume and normal speed;A man with a high-pitched voice speaks with normal speed and low volume;A man with a high-pitched voice speaks with normal speed, low volume, and normal energy;A man with high pitch, low volume and normal speed;A man with high pitch, normal speed and low volume;Ask a high-pitched man to speak with normal speaking speed and low volume;Ask a man with a high-pitched voice to speak with normal speed and low volume;Create a man with a high-pitched voice for me, and his volume is low and speed is normal;Create a man with a high-pitched voice, low volume, and normal speed for me;I want a man with a high pitch but low volume and normal speaking speed;I want a man with a high-pitched voice, low volume, and normal speed;I want a man with high pitch but low volume and normal speaking speed;Let me ask a high-pitched man to speak with low volume and normal talking speed;Let me ask a man with a high-pitched voice to speak with low volume and normal speed;Let me request a man with a high-pitched voice to speak with low volume and normal speed;a man speaks with high pitch, normal talking speed and low energy;ask a high-pitched man to speak with normal speaking speed and low volume;let me ask a high-pitched man to speak with low volume and normal talking speed
M_p-high_s-normal_e-normal|A gentleman with a high-pitched voice speaks with normal energy and normal speaking speed;A high-pitched man speaks with standard speed and normal volume;A man with a high-pitched voice speaks at a standard speed and normal volume;A man with a high-pitched voice speaks with normal energy and normal speaking speed;A man with a high-pitched voice speaks with normal energy and normal volume;A man with a high-pitched voice speaks with normal energy and normal volume at a standard speed;A man with a high-pitched voice speaks with normal energy and standard speaking speed;A man with a high-pitched voice speaks with normal energy and standard speed at normal volume;A man with a high-pitched voice speaks with normal speed and average volume;A man with a high-pitched voice speaks with normal speed and normal volume;a gentleman speaks with high pitch, normal energy and normal speaking speed;a high-pitched man speaks with standard speed and normal volume;a man speaks with high pitch, normal energy and normal speaking speed;ask a high-pitched man to speak with normal speaking speed and normal energy;ask a high-pitched man to talk with normal speed and average volume;ask a man to speak with high pitch and normal energy but standard articulation speed;ask a man to speak with high pitch and normal energy but standard speaking rate;ask a man to speak with high pitch and normal energy but standard speaking speed;ask a man to speak with high pitch and normal energy but standard speech speed;ask a man to speak with high pitch and normal energy but standard talking speed;ask a man to speak with normal energy, normal speed and high pitch;ask a man with high-pitched voice to speak with average energy and normal speed;ask a man with high-pitched voice to speak with normal energy and normal speed;ask a man with high-pitched voice to speak with normal speed and average volume;ask a man with high-pitched voice to speak with normal speed and normal energy;ask a man with high-pitched voice to speak with normal volume and normal speed;ask a man with high-pitched voice to talk with normal energy and average volume;ask a man with high-pitched voice to talk with normal energy and normal speed;ask a man with high-pitched voice to talk with normal speed and average volume;let us ask a man to talk normally with high pitch
M_p-high_s-normal_e-high| a man speaks with high pitch, normal talking speed and normal power;A high-pitched man is asked to speak loudly at a normal speed;A man speaks with a high pitch, normal talking speed and normal power;A man speaks with a high pitch, normal talking speed, and normal intensity;A man speaks with a high pitch, normal talking speed, and normal power;A man speaks with a high pitch, normal talking speed, and normal volume;A man speaks with a high-pitched voice, normal talking speed, and normal power;A man speaks with a high-pitched voice, normal talking speed, and normal volume;A man speaks with high pitch, normal speed and high energy;A man speaks with high pitch, normal speed and high energy level;A man speaks with high pitch, normal talking speed and high energy;A man speaks with high pitch, normal talking speed and normal power;A man speaks with normal talking speed and high power, and a high pitch;A man with a high-pitched voice is asked to speak loudly and at a normal speed;A man with a high-pitched voice is asked to speak loudly at a normal speed;Ask a man to speak with a high pitch, normal talking speed and normal power;Ask a man to speak with high pitch, normal speed and high energy;Ask a man to speak with high pitch, normal speed and normal power;Ask a man to speak with high pitch, normal talking speed and high energy;Ask a man to speak with high pitch, normal talking speed and high power;High pitch sound, man, loud volume, but standard speaking speed;ask a high-pitched man to speak loudly with normal speaking speed;ask a man to speak with high pitch, normal sped and high energy;high pitch sound, man, loud volume, but standard speaking speed;loud volume, a man, high pitch sound, but his speed is no different from ordinary people
